tokenizer_family,model_name,tokenizer_path,tokenizer_mode,language,length_label,input_chars,worker_processes,chunk_count,chunk_chars,overlap_chars,chat_template_time_ms,dispatch_submit_time_ms,dispatch_collect_time_ms,mp_dispatch_process_collect_time_ms,chunk_dedup_time_ms,worker_encode_time_ms_sum,worker_encode_time_ms_max,worker_materialize_time_ms_sum,worker_materialize_time_ms_max,lopt_e2e_time_ms,native_e2e_time_ms,native_tokenizer_time_ms,native_output_tokens,native_token_hash,lopt_output_tokens,lopt_token_hash,exact_match,fallback_used,fallback_serial_time_ms,fallback_token_hash,error_message,candidate_status,actual_chunk_count,e2e_speedup_x,tokenizer_speedup_x,tokenizer_time_drop_pct
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,zh,720k,737280,8,32,23040,512,0.0,0.585,198.89,199.476,11.26,836.499,30.861,15.167,0.641,210.736,1246.926,1238.262,421879,ac3995651b186dfd431797a41a18aab4de1323f461f5dbc142ff238155cc622d,421879,ac3995651b186dfd431797a41a18aab4de1323f461f5dbc142ff238155cc622d,True,False,,,,valid,32,5.917,6.208,83.891
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,zh,880k,901120,32,128,7040,64,0.0,3.673,98.058,101.73,7.76,1239.887,27.921,16.024,0.229,109.49,1308.03,1298.278,515630,7ebc8196c34221295d3928b46d2f8fbdff643b1ec90e26a3dec9033353b78d4a,515630,7ebc8196c34221295d3928b46d2f8fbdff643b1ec90e26a3dec9033353b78d4a,True,False,,,,valid,128,11.947,12.762,92.164
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,zh,1024k,1048576,32,128,8192,64,0.0,5.221,117.897,123.118,10.937,1343.284,30.658,20.066,1.561,134.055,1517.633,1506.085,600031,fd3e783ca0e19aa44b65c76f1e9a8a3af5b51a1dfa88506d9cb4262e3672dad0,600031,fd3e783ca0e19aa44b65c76f1e9a8a3af5b51a1dfa88506d9cb4262e3672dad0,True,False,,,,valid,128,11.321,12.233,91.825
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,en,1k,1024,1,1,1024,256,0.0,0.025,0.895,0.92,0.0,0.544,0.544,0.024,0.024,0.92,4.082,3.857,195,440cf0a20af6b2d1bba7e3ee2d1f84da3841e9a97f5c2d30f5d3632bb7d98572,195,440cf0a20af6b2d1bba7e3ee2d1f84da3841e9a97f5c2d30f5d3632bb7d98572,True,False,,,,valid,1,4.437,4.192,76.147
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,en,4k,4096,4,2,2048,256,0.0,0.042,1.612,1.654,0.081,2.262,1.18,0.08,0.044,1.735,6.132,5.786,904,55a582c1b36a0b6939bdf6bcfb5e057f10e5c98d807102ad3e0e93ab489330a0,904,55a582c1b36a0b6939bdf6bcfb5e057f10e5c98d807102ad3e0e93ab489330a0,True,False,,,,valid,2,3.534,3.498,71.414
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,en,8k,8192,2,8,1024,128,0.0,0.097,3.532,3.629,0.21,5.153,0.848,0.2,0.031,3.839,9.31,8.747,1750,014ca5abfc22396d0dae0e43e9f2d1bfe39f4c383792c9aed684f002b324ca69,1750,014ca5abfc22396d0dae0e43e9f2d1bfe39f4c383792c9aed684f002b324ca69,True,False,,,,valid,8,2.425,2.41,58.511
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,en,16k,16384,4,8,2048,256,0.0,0.098,4.019,4.117,0.372,10.114,1.45,0.352,0.053,4.489,14.665,14.059,3390,04557f437df944faee82fa63347373ad726743804a1a710315e1decb46166f20,3390,04557f437df944faee82fa63347373ad726743804a1a710315e1decb46166f20,True,False,,,,valid,8,3.267,3.415,70.716
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,en,32k,32768,4,8,4096,32,0.0,0.09,7.689,7.779,0.162,17.646,2.331,0.297,0.039,7.941,24.695,23.978,6860,22d2acec1033f8978f54bde83b76988db981cbc8469ca0b84bbfb3d81996053f,6860,22d2acec1033f8978f54bde83b76988db981cbc8469ca0b84bbfb3d81996053f,True,False,,,,valid,8,3.11,3.082,67.558
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,en,64k,65536,4,4,16384,256,0.0,0.076,10.477,10.553,0.226,36.416,9.352,0.415,0.109,10.779,44.959,43.705,13849,f93ba46486199b3afb69f8e347831d5772ab09ca1c4aff428a81755b133fc66f,13849,f93ba46486199b3afb69f8e347831d5772ab09ca1c4aff428a81755b133fc66f,True,False,,,,valid,4,4.171,4.141,75.854
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,en,128k,131072,4,4,32768,64,0.0,0.07,20.236,20.306,0.235,72.155,18.408,0.731,0.188,20.541,81.044,79.852,27769,db3d6d844cc4b2d6acce65f32410398abfbff821cb82854c75985927a8b961d3,27769,db3d6d844cc4b2d6acce65f32410398abfbff821cb82854c75985927a8b961d3,True,False,,,,valid,4,3.945,3.932,74.57
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,en,256k,262144,8,8,32768,256,0.0,0.089,39.931,40.02,0.747,144.758,18.894,1.564,0.217,40.767,162.407,160.762,56643,95546d014e76a33c5b62608c2b9778b18f221a9eb1b920eac764388ea774913e,56643,95546d014e76a33c5b62608c2b9778b18f221a9eb1b920eac764388ea774913e,True,False,,,,valid,8,3.984,4.017,75.106
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,en,512k,524288,8,4,131072,128,0.0,0.069,81.083,81.152,0.702,292.227,74.798,2.846,0.765,81.854,317.26,314.69,111298,ea9b81c12f31d5aaeb9de6300278e2290c882264ba4c69643ce2694b653750ab,111298,ea9b81c12f31d5aaeb9de6300278e2290c882264ba4c69643ce2694b653750ab,True,False,,,,valid,4,3.876,3.878,74.212
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,en,720k,737280,8,8,92160,128,0.0,0.117,109.095,109.211,1.258,395.894,53.712,4.808,0.649,110.469,444.182,440.81,157358,c01bae33c3a2cb7c923cf43371bbdf89680e71f66a208f5c01ae65c193378e83,157358,c01bae33c3a2cb7c923cf43371bbdf89680e71f66a208f5c01ae65c193378e83,True,False,,,,valid,8,4.021,4.036,75.225
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,en,880k,901120,8,4,225280,128,0.0,0.072,133.503,133.575,1.622,474.489,123.937,4.831,1.271,135.197,555.247,549.88,192178,84eda32f3babcb368f4c423bbb259b0601af152de701b11ab38e3bdeaf5915ec,192178,84eda32f3babcb368f4c423bbb259b0601af152de701b11ab38e3bdeaf5915ec,True,False,,,,valid,4,4.107,4.117,75.708
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,en,1024k,1048576,4,8,131072,32,0.0,0.151,154.459,154.611,3.046,557.786,71.746,6.14,0.829,157.657,697.772,689.879,222766,edee7a6abf083a018907efdb820263cc394fa1f3bee27b328e990f285bbd5c82,222766,edee7a6abf083a018907efdb820263cc394fa1f3bee27b328e990f285bbd5c82,True,False,,,,valid,8,4.426,4.462,77.589
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,zh,1k,1024,1,1,1024,256,0.0,0.022,1.314,1.337,0.0,0.884,0.884,0.05,0.05,1.337,49.982,49.207,534,41b547532ee6d513a50b10931b018bd92cddde43d9053fd6a27eebd48814bed6,534,41b547532ee6d513a50b10931b018bd92cddde43d9053fd6a27eebd48814bed6,True,False,,,,valid,1,37.384,36.804,97.283
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,zh,4k,4096,2,1,4096,256,0.0,0.02,3.947,3.967,0.0,3.239,3.239,0.084,0.084,3.967,24.921,22.885,2287,d02ed0c9cb5681c26ec3807c82eb98bedfbcb09de310619a0fda8a2f0b062e4a,2287,d02ed0c9cb5681c26ec3807c82eb98bedfbcb09de310619a0fda8a2f0b062e4a,True,False,,,,valid,1,6.282,5.769,82.666
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,zh,8k,8192,2,2,4096,128,0.0,0.036,7.429,7.466,0.087,6.328,3.221,0.145,0.077,7.553,22.072,21.348,4554,8311e814f8225d0254bf3a9f909f4d7944d2a4be995f04aff27e6be0eda29b2c,4554,8311e814f8225d0254bf3a9f909f4d7944d2a4be995f04aff27e6be0eda29b2c,True,False,,,,valid,2,2.922,2.859,65.027
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,zh,16k,16384,4,4,4096,32,0.0,0.053,4.655,4.708,0.145,14.08,3.762,0.282,0.072,4.853,35.268,34.535,9087,1d942ebe200fd141fe974cc4a4525a48109eb6835bee5aee5244af3c4b5889b6,9087,1d942ebe200fd141fe974cc4a4525a48109eb6835bee5aee5244af3c4b5889b6,True,False,,,,valid,4,7.267,7.335,86.367
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,zh,32k,32768,4,4,8192,64,0.0,0.063,8.97,9.033,0.236,28.448,7.525,0.548,0.161,9.269,58.997,58.078,18154,5ed3144c1fde632d5de0957fa7a1c81dccb41f020b769e7dbd5674e2a606da81,18154,5ed3144c1fde632d5de0957fa7a1c81dccb41f020b769e7dbd5674e2a606da81,True,False,,,,valid,4,6.365,6.43,84.447
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,zh,64k,65536,4,16,4096,64,0.0,0.272,16.651,16.922,0.99,53.609,3.452,1.216,0.078,17.912,78.451,76.838,36326,572ebf8fea3ed0d002a23bd5df513f98c35f3c75ba38c8d8fa5132c860ae00ff,36326,572ebf8fea3ed0d002a23bd5df513f98c35f3c75ba38c8d8fa5132c860ae00ff,True,False,,,,valid,16,4.38,4.541,77.977
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,zh,128k,131072,8,16,8192,128,0.0,0.217,33.356,33.572,1.589,112.715,7.313,2.266,0.165,35.161,142.58,140.731,72695,83c874a58045ecb210a32665e8cb45b07c8e4ac26b19296f7836210af4731d67,72695,83c874a58045ecb210a32665e8cb45b07c8e4ac26b19296f7836210af4731d67,True,False,,,,valid,16,4.055,4.192,76.145
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,zh,256k,262144,4,4,65536,32,0.0,0.064,65.576,65.639,1.221,223.602,57.545,3.45,0.912,66.86,358.617,355.096,145453,b2ac9e8fd26fc528d587eb97366403ec7cb233de3f649909025eb394309ff05b,145453,b2ac9e8fd26fc528d587eb97366403ec7cb233de3f649909025eb394309ff05b,True,False,,,,valid,4,5.364,5.41,81.515
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,zh,512k,524288,8,16,32768,256,0.0,0.313,130.534,130.848,3.802,449.737,31.363,8.363,0.615,134.65,823.656,818.286,290892,b77877525188732a4dfa8f502a4d2dcc25948ae253af0fa0ee930941d4ebb148,290892,b77877525188732a4dfa8f502a4d2dcc25948ae253af0fa0ee930941d4ebb148,True,False,,,,valid,16,6.117,6.254,84.01
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,zh,720k,737280,32,128,5760,64,0.0,14.602,81.41,96.012,8.014,877.48,18.469,14.199,0.195,104.026,1217.077,1206.571,409030,ac0916a35bb1e62c100c52ebbc747820ac1da02b287101743c5c53fd96daf27d,409030,ac0916a35bb1e62c100c52ebbc747820ac1da02b287101743c5c53fd96daf27d,True,False,,,,valid,128,11.7,12.567,92.043
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,zh,880k,901120,32,128,7040,64,0.0,1.485,89.756,91.241,12.398,967.01,20.735,15.645,0.26,103.639,1146.439,1132.084,499927,dcebf41e9e582925557a0d4d14c9a0e32bbe41887c65d5acbbaf5f20533c1a1d,499927,dcebf41e9e582925557a0d4d14c9a0e32bbe41887c65d5acbbaf5f20533c1a1d,True,False,,,,valid,128,11.062,12.408,91.94
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,zh,1024k,1048576,8,32,32768,256,0.0,0.44,156.769,157.209,9.296,987.193,42.949,16.959,0.627,166.505,1279.613,1269.082,581755,ac40f2d9cb819c7f361096c6a5ebeefcb6fe7ab723f04566c3d626f7aad2a491,581755,ac40f2d9cb819c7f361096c6a5ebeefcb6fe7ab723f04566c3d626f7aad2a491,True,False,,,,valid,32,7.685,8.073,87.612
